Day,type,Lot Name,Lot Number,Total Spaces,0700,1100,1400,1600
wednesday,Residential,South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,61% Full,73% Full,62% Full,60% Full
wednesday,Greek,Fraternity Circle Lot,501,94,77% Full,87% Full,93% Full,83% Full
wednesday,Greek,Greek Row Central Lot,521,203,44% Full,62% Full,69% Full,48% Full
wednesday,Greek,Greek Row South Lot,523,84,88% Full,95% Full,96% Full,57% Full
wednesday,Greek,Greek Row North Lot,524,141,0% Full,19% Full,36% Full,3% Full
wednesday,Greek,Fraternity Ln. Lot (Street),500A,25,52% Full,68% Full,80% Full,44% Full
wednesday,Greek,Fraternity Ln. Lot,500B,53,54% Full,91% Full,87% Full,85% Full
wednesday,Greek,Fraternity Ln. East Lot (Gravel),500B,41,80% Full,78% Full,71% Full,66% Full
wednesday,Greek,Fraternity Ln. North Lot,500C,83,94% Full,96% Full,90% Full,83% Full
wednesday,Greek,Greek Row West Lot,520,84,98% Full,99% Full,94% Full,57% Full
wednesday,Greek,West Lakeshore North Lot,513,116,59% Full,81% Full,67% Full,64% Full
wednesday,B Permit,West State St. Lot,218,55,78% Full,85% Full,76% Full,73% Full
wednesday,B Permit,Donahue Street Lot,220,18,11% Full,100% Full,33% Full,78% Full
wednesday,B Permit,Old Band Hall (Gravel) Lot,222,26,73% Full,15% Full,8% Full,15% Full
wednesday,B Permit,312 A (Gravel),312,30,13% Full,27% Full,100% Full,73% Full
wednesday,B Permit,Public Safety Lot,400,42,19% Full,19% Full,21% Full,21% Full
wednesday,B Permit,Hansen's Lot,420,10,20% Full,20% Full,20% Full,10% Full
wednesday,B Permit,Vet Med East Lot,421,170,21% Full,25% Full,75% Full,61% Full
wednesday,B Permit,Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
wednesday,B Permit,Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
wednesday,B Permit,LADDL Lot,424,57,No Data,No Data,No Data,No Data
wednesday,B Permit,Warehouse Ln. Lot,425,41,13% Full,30% Full,50% Full,60% Full
wednesday,B Permit,University Stores B Lot,430,42,20% Full,30% Full,30% Full,25% Full
wednesday,B Permit,U-High North B Lot,510,88,93% Full,99% Full,99% Full,98% Full
wednesday,B Permit,U-High South B Lot,511,24,79% Full,71% Full,75% Full,46% Full
wednesday,B Permit,Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
wednesday,B Permit,Nelson Memorial B Lot,603,29,31% Full,52% Full,58% Full,44% Full
wednesday,B Permit,Tiger Band Hall B Lot,214 B,6,17% Full,0% Full,100% Full,83% Full
wednesday,B Permit,The 5 B Lot,221 A,24,95% Full,92% Full,95% Full,82% Full
wednesday,B Permit,Cogen Lot,301 A,26,65% Full,88% Full,96% Full,62% Full
wednesday,B Permit,Electrical Engineering B Lot,304 A,117,40% Full,94% Full,97% Full,76% Full
wednesday,B Permit,Facility Services Lot (Fieldhouse Dr.),304 C,75,67% Full,85% Full,89% Full,84% Full
wednesday,B Permit,Sturgis Hall B Lot (312A),312 B,70,14% Full,94% Full,97% Full,87% Full
wednesday,B Permit,E.B. Doran Hall Lot,312 D,44,32% Full,100% Full,100% Full,100% Full
wednesday,B Permit,ECE B Lot,402 B,60,32% Full,100% Full,100% Full,100% Full
wednesday,B Permit,E.B Doran Hall (Gravel) Lot,On Street,19,20% Full,80% Full,90% Full,75% Full
wednesday,B Permit,South Quad B (Gravel) Lot,403 A,55,2% Full,4% Full,5% Full,7% Full
wednesday,B Permit,Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
wednesday,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,21% Full,100% Full,100% Full,100% Full
wednesday,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,98% Full,100% Full,98% Full,100% Full
wednesday,B Permit,Forestry Ln. Lot,On Street,15,87% Full,93% Full,93% Full,100% Full
wednesday,B Permit,Hospital Ln. Lot,On Street,16,0% Full,17% Full,83% Full,83% Full
wednesday,B Permit,Infirmary Rd. Lot,On Street,38,3% Full,92% Full,97% Full,95% Full
wednesday,B Permit,Tower Dr. B Lot,On Street,58,78% Full,80% Full,95% Full,85% Full
wednesday,B Permit,Parade Grounds North Lot,On Street,40,50% Full,100% Full,98% Full,100% Full
wednesday,B Permit,Parade Grounds South Lot,On Street,61,31% Full,100% Full,100% Full,90% Full
wednesday,B Permit,North Stadium Dr. Lot,On Street,27,67% Full,74% Full,56% Full,41% Full
wednesday,B Permit,Parker Coliseum B Lot,On Street,37,76% Full,100% Full,100% Full,87% Full
thursday,Commuter,West Stadium Lot,101,221,19% Full,82% Full,79% Full,74% Full
thursday,Commuter,Bernie Moore Lot,104,191,4% Full,89% Full,67% Full,21% Full
thursday,Commuter,Natatorium Lot,105,315,27% Full,32% Full,35% Full,42% Full
thursday,Commuter,Touchdown Village West Lot,314,1364,2% Full,96% Full,92% Full,65% Full
thursday,Commuter,Touchdown Village East Lot,315,1221,1% Full,47% Full,41% Full,21% Full
thursday,Commuter,West Parker Blvd. Lot,316,206,6% Full,16% Full,10% Full,3% Full
thursday,Commuter,South Stadium East Lot,401,328,4% Full,99% Full,99% Full,4% Full
thursday,Commuter,South Stadium West Lot,401,529,3% Full,99% Full,99% Full,4% Full
thursday,Commuter,South Quad Dr. West Lot,403,441,3% Full,97% Full,98% Full,96% Full
thursday,Commuter,Skip Bertman Dr. East Lot,404,641,3% Full,26% Full,24% Full,18% Full
thursday,Commuter,East Parker Blvd. Lot,604,504,10% Full,41% Full,43% Full,1% Full
thursday,Commuter,ECE West Lot,402,285,20% Full,17% Full,86% Full,41% Full
thursday,Commuter,Parker Coliseum Lot,600,494,33% Full,90% Full,89% Full,65% Full
thursday,Residential,Canal Hall North Lot,111,85,100% Full,96% Full,88% Full,82% Full
thursday,Residential,Nicholson Gateway North Lot,112,423,97% Full,95% Full,93% Full,96% Full
thursday,Residential,Beach Volleyball Lot,206,121,100% Full,97% Full,97% Full,98% Full
thursday,Residential,Spruce Hall Lot,210,125,98% Full,95% Full,93% Full,96% Full
thursday,Residential,Alaska Street Lot (WCA West),211,427,88% Full,89% Full,85% Full,87% Full
thursday,Residential,Kirby Smith Hall Lot,211,189,99% Full,98% Full,98% Full,99% Full
thursday,Residential,North Kirby Smith Hall Lot (WCA North),211,219,55% Full,52% Full,52% Full,53% Full
thursday,Residential,Aster Street West Lot,212,176,2% Full,7% Full,8% Full,5% Full
thursday,Residential,Aster Street East Lot,213,200,10% Full,13% Full,14% Full,7% Full
thursday,Residential,Alaska Street East Lot (Cypress Dr. North),219,266,67% Full,65% Full,76% Full,69% Full
thursday,Residential,Broussard Circle Lot,220,19,100% Full,100% Full,89% Full,95% Full
thursday,Residential,Pentagon Lot,220,65,100% Full,100% Full,94% Full,95% Full
thursday,Residential,Acadian Lot,506,141,99% Full,96% Full,99% Full,87% Full
thursday,Residential,Blake Hall Lot,507,93,99% Full,98% Full,97% Full,91% Full
thursday,Residential,Campus Lake Gravel Lot,508,134,96% Full,99% Full,99% Full,93% Full
thursday,Residential,Herget Hall Lot,508,230,99% Full,98% Full,96% Full,97% Full
thursday,Residential,Miller Hall Lot,508,177,99% Full,98% Full,95% Full,89% Full
thursday,Residential,Hill Farm Student Lot,515,298,1% Full,2% Full,2% Full,3% Full
thursday,Residential,Student Rec West Lot,517,100,86% Full,96% Full,88% Full,94% Full
thursday,Residential,Parker Coliseum Lot,600,494,33% Full,90% Full,89% Full,65% Full
thursday,Residential,South Stadium Dr. East Lot,601,125,0% Full,68% Full,74% Full,0% Full
thursday,Residential,Nicholson Gateway Garage (Level 1),701,134,97% Full,93% Full,85% Full,82% Full
thursday,Residential,Nicholson Gateway Garage (Level 2),701,146,82% Full,86% Full,62% Full,54% Full
thursday,Residential,Nicholson Gateway Garage (Level 3),701,170,26% Full,28% Full,25% Full,21% Full
thursday,Residential,Nicholson Gateway Garage (Level 4),701,171,7% Full,7% Full,5% Full,6% Full
thursday,Residential,Nicholson Gateway Garage (Level 5),701,178,1% Full,2% Full,2% Full,1% Full
thursday,Residential,East Campus Apartments (East Lot),504 A,191,97% Full,93% Full,98% Full,97% Full
thursday,Residential,East Campus Apartments (West Lot),504 B,218,99% Full,93% Full,96% Full,98% Full
thursday,Residential,Corporate Canal South Lot,518 B,81,81% Full,72% Full,78% Full,85% Full
thursday,Residential,Campus Lake - South Campus Lot (McVoy Hall),Street,18,89% Full,78% Full,100% Full,100% Full
thursday,Residential,South Campus Street (Bridge) Lot,Street,105,94% Full,90% Full,92% Full,97% Full
thursday,Residential,South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,56% Full,65% Full,61% Full,78% Full
thursday,Greek,Fraternity Circle Lot,501,94,81% Full,88% Full,91% Full,84% Full
thursday,Greek,Greek Row Central Lot,521,203,47% Full,61% Full,60% Full,45% Full
thursday,Greek,Greek Row South Lot,523,84,84% Full,94% Full,80% Full,41% Full
thursday,Greek,Greek Row North Lot,524,141,0% Full,15% Full,17% Full,0% Full
thursday,Greek,Fraternity Ln. Lot (Street),500A,25,76% Full,80% Full,84% Full,56% Full
thursday,Greek,Fraternity Ln. Lot,500B,53,54% Full,75% Full,75% Full,84% Full
thursday,Greek,Fraternity Ln. East Lot (Gravel),500B,41,53% Full,82% Full,87% Full,68% Full
thursday,Greek,Fraternity Ln. North Lot,500C,83,90% Full,95% Full,96% Full,89% Full
thursday,Greek,Greek Row West Lot,520,84,99% Full,98% Full,96% Full,76% Full
thursday,Greek,West Lakeshore North Lot,513,116,67% Full,99% Full,71% Full,66% Full
thursday,B Permit,West State St. Lot,218,55,71% Full,80% Full,78% Full,69% Full
thursday,B Permit,Donahue Street Lot,220,18,39% Full,94% Full,78% Full,56% Full
thursday,B Permit,Old Band Hall (Gravel) Lot,222,26,23% Full,100% Full,88% Full,50% Full
thursday,B Permit,312 A (Gravel),312,30,53% Full,73% Full,100% Full,97% Full
thursday,B Permit,Public Safety Lot,400,42,19% Full,19% Full,21% Full,21% Full
thursday,B Permit,Hansen's Lot,420,10,30% Full,50% Full,40% Full,20% Full
thursday,B Permit,Vet Med East Lot,421,170,24% Full,77% Full,75% Full,68% Full
thursday,B Permit,Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
thursday,B Permit,Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
thursday,B Permit,LADDL Lot,424,57,No Data,No Data,No Data,No Data
thursday,B Permit,Warehouse Ln. Lot,425,41,13% Full,30% Full,52% Full,20% Full
thursday,B Permit,University Stores B Lot,430,42,20% Full,30% Full,52% Full,20% Full
thursday,B Permit,U-High North B Lot,510,88,92% Full,97% Full,97% Full,95% Full
thursday,B Permit,U-High South B Lot,511,24,20% Full,50% Full,58% Full,79% Full
thursday,B Permit,Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
thursday,B Permit,Nelson Memorial B Lot,603,29,10% Full,52% Full,45% Full,52% Full
thursday,B Permit,Tiger Band Hall B Lot,214 B,6,100% Full,20% Full,100% Full,100% Full
thursday,B Permit,The 5 B Lot,221 A,24,82% Full,92% Full,97% Full,90% Full
thursday,B Permit,Cogen Lot,301 A,26,46% Full,76% Full,76% Full,61% Full
thursday,B Permit,Electrical Engineering B Lot,304 A,117,35% Full,88% Full,88% Full,76% Full
thursday,B Permit,Facility Services Lot (Fieldhouse Dr.),304 C,75,70% Full,76% Full,65% Full,74% Full
thursday,B Permit,Sturgis Hall B Lot (312A),312 B,70,15% Full,100% Full,25% Full,25% Full
thursday,B Permit,E.B. Doran Hall Lot,312 D,44,25% Full,100% Full,100% Full,100% Full
thursday,B Permit,ECE B Lot,402 B,60,1% Full,6% Full,3% Full,1% Full
thursday,B Permit,E.B Doran Hall (Gravel) Lot,On Street,19,10% Full,25% Full,20% Full,20% Full
thursday,B Permit,South Quad B (Gravel) Lot,403 A,55,10% Full,25% Full,20% Full,20% Full
thursday,B Permit,Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
thursday,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,84% Full,94% Full,89% Full,89% Full
thursday,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,95% Full,97% Full,93% Full,93% Full
thursday,B Permit,Forestry Ln. Lot,On Street,15,46% Full,100% Full,100% Full,100% Full
thursday,B Permit,Hospital Ln. Lot,On Street,16,66% Full,100% Full,50% Full,50% Full
thursday,B Permit,Infirmary Rd. Lot,On Street,38,47% Full,60% Full,76% Full,68% Full
thursday,B Permit,Tower Dr. B Lot,On Street,58,70% Full,75% Full,85% Full,85% Full
thursday,B Permit,Parade Grounds North Lot,On Street,40,57% Full,85% Full,93% Full,93% Full
thursday,B Permit,Parade Grounds South Lot,On Street,61,53% Full,100% Full,100% Full,100% Full
thursday,B Permit,North Stadium Dr. Lot,On Street,27,22% Full,85% Full,93% Full,93% Full
thursday,B Permit,Parker Coliseum B Lot,On Street,37,20% Full,92% Full,100% Full,92% Full
friday,Commuter,West Stadium Lot,101,221,80% Full,88% Full,89% Full,79% Full
friday,Commuter,Bernie Moore Lot,104,191,15% Full,8% Full,12% Full,14% Full
friday,Commuter,Natatorium Lot,105,191,1% Full,48% Full,46% Full,40% Full
friday,Commuter,Touchdown Village West Lot,314,1364,58% Full,95% Full,99% Full,57% Full
friday,Commuter,Touchdown Village East Lot,315,1221,99% Full,100% Full,100% Full,98% Full
friday,Commuter,West Parker Blvd. Lot,316,206,5% Full,15% Full,13% Full,4% Full
friday,Commuter,South Stadium East Lot,401,328,6% Full,98% Full,98% Full,11% Full
friday,Commuter,South Stadium West Lot,401,529,3% Full,98% Full,99% Full,7% Full
friday,Commuter,South Quad Dr. West Lot,403,441,86% Full,90% Full,88% Full,87% Full
friday,Commuter,Skip Bertman Dr. East Lot,404,641,1% Full,28% Full,22% Full,7% Full
friday,Commuter,East Parker Blvd. Lot,604,504,9% Full,46% Full,48% Full,16% Full
friday,Commuter,ECE West Lot,402,285,7% Full,79% Full,83% Full,39% Full
friday,Commuter,Parker Coliseum Lot,600,494,20% Full,93% Full,73% Full,54% Full
friday,Residential,Canal Hall North Lot,111,85,95% Full,87% Full,81% Full,73% Full
friday,Residential,Nicholson Gateway North Lot,112,423,93% Full,91% Full,88% Full,86% Full
friday,Residential,Beach Volleyball Lot,206,121,93% Full,93% Full,80% Full,79% Full
friday,Residential,Spruce Hall Lot,210,125,97% Full,95% Full,97% Full,93% Full
friday,Residential,Alaska street Lot (WCA West),211,427,57% Full,53% Full,43% Full,36% Full
friday,Residential,Kirby Smith Hall Lot,211,189,97% Full,95% Full,97% Full,93% Full
friday,Residential,North Kirby Smith Hall Lot,211,219,54% Full,51% Full,51% Full,52% Full
friday,Residential,Aster Street West Lot,212,176,4% Full,6% Full,6% Full,4% Full
friday,Residential,Aster Street East Lot,213,200,3% Full,8% Full,9% Full,5% Full
friday,Residential,Alaska Street East Lot (Cypress Dr. North),219,266,57% Full,48% Full,34% Full,23% Full
friday,Residential,Broussard Circle Lot,220,19,100% Full,94% Full,89% Full,78% Full
friday,Residential,Pentagon Lot,220,65,98% Full,92% Full,95% Full,89% Full
friday,Residential,Acadian Lot,506,141,95% Full,94% Full,89% Full,86% Full
friday,Residential,Blake Hall Lot,507,93,98% Full,95% Full,82% Full,69% Full
friday,Residential,Campus Lake Gravel Lot,508,134,91% Full,94% Full,96% Full,89% Full
friday,Residential,Herget Hall Lot,508,230,96% Full,93% Full,72% Full,58% Full
friday,Residential,Miller Hall Lot,508,177,96% Full,93% Full,72% Full,58% Full
friday,Residential,Hill Farm Student Lot,515,298,87% Full,68% Full,63% Full,55% Full
friday,Residential,Student Rec West Lot,517,100,81% Full,91% Full,89% Full,93% Full
friday,Residential,Parker Coliseum Lot,600,494,20% Full,93% Full,73% Full,54% Full
friday,Residential,South Stadium Dr. East Lot,601,125,10% Full,52% Full,10% Full,5% Full
friday,Residential,Nicholson Gateway Garage (Level 1),701,134,96% Full,85% Full,67% Full,69% Full
friday,Residential,Nicholson Gateway Garage (Level 2),701,146,69% Full,60% Full,45% Full,26% Full
friday,Residential,Nicholson Gateway Garage (Level 3),701,170,24% Full,25% Full,22% Full,9% Full
friday,Residential,Nicholson Gateway Garage (Level 4),701,171,5% Full,2% Full,2% Full,4% Full
friday,Residential,Nicholson Gateway Garage (Level 5),701,178,0% Full,1% Full,0% Full,0% Full
friday,Residential,East Campus Apartments (East Lot),504 A,191,96% Full,95% Full,80% Full,54% Full
friday,Residential,East Campus Apartments (West Lot),504 B,218,96% Full,95% Full,80% Full,54% Full
friday,Residential,Corporate Canal South Lot,518 B,81,91% Full,74% Full,81% Full,55% Full
friday,Residential,Campus Lake - South Campus Lot (McVoy Hall),Street,18,39% Full,56% Full,11% Full,0% Full
friday,Residential,South Campus Street (Bridge) Lot,Street,105,92% Full,87% Full,80% Full,75% Full
friday,Residential,South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,47% Full,86% Full,90% Full,75% Full
friday,Greek,Fraternity Circle Lot,501,94,69% Full,84% Full,78% Full,80% Full
friday,Greek,Greek Row Central Lot,521,203,22% Full,27% Full,21% Full,12% Full
friday,Greek,Greek Row South Lot,523,84,86% Full,89% Full,42% Full,2% Full
friday,Greek,Greek Row North Lot,524,141,0% Full,0% Full,0% Full,0% Full
friday,Greek,Fraternity Ln. Lot (Street),500A,25,40% Full,68% Full,36% Full,44% Full
friday,Greek,Fraternity Ln. Lot,500B,53,60% Full,74% Full,64% Full,68% Full
friday,Greek,Fraternity Ln. East Lot (Gravel),500B,41,66% Full,71% Full,78% Full,90% Full
friday,Greek,Fraternity Ln. North Lot,500C,83,94% Full,96% Full,90% Full,93% Full
friday,Greek,Greek Row West Lot,520,84,67% Full,71% Full,52% Full,44% Full
friday,Greek,West Lakeshore North Lot,513,116,76% Full,75% Full,62% Full,41% Full
friday,B Permit,West State St. Lot,218,55,75% Full,78% Full,85% Full,71% Full
friday,B Permit,Donahue Street Lot,220,18,39% Full,94% Full,67% Full,39% Full
friday,B Permit,Old Band Hall (Gravel) Lot,222,26,35% Full,100% Full,100% Full,73% Full
friday,B Permit,312 A (Gravel),312,30,90% Full,83% Full,77% Full,70% Full
friday,B Permit,Public Safety Lot,400,42,19% Full,19% Full,21% Full,21% Full
friday,B Permit,Hansen's Lot,420,10,20% Full,20% Full,10% Full,10% Full
friday,B Permit,Vet Med East Lot,421,170,19% Full,70% Full,70% Full,62% Full
friday,B Permit,Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
friday,B Permit,Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
friday,B Permit,LADDL Lot,424,57,No Data,No Data,No Data,No Data
friday,B Permit,Warehouse Ln. Lot,425,41,13% Full,30% Full,45% Full,30% Full
friday,B Permit,University Stores B Lot,430,42,20% Full,30% Full,45% Full,30% Full
friday,B Permit,U-High North B Lot,510,88,92% Full,94% Full,93% Full,94% Full
friday,B Permit,U-High South B Lot,511,24,25% Full,46% Full,67% Full,50% Full
friday,B Permit,Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
friday,B Permit,Nelson Memorial B Lot,603,29,31% Full,52% Full,58% Full,44% Full
friday,B Permit,Tiger Band Hall B Lot,214 B,6,17% Full,0% Full,100% Full,83% Full
friday,B Permit,The 5 B Lot,221 A,24,82% Full,92% Full,97% Full,90% Full
friday,B Permit,Cogen Lot,301 A,26,80% Full,62% Full,69% Full,65% Full
friday,B Permit,Electrical Engineering B Lot,304 A,117,20% Full,88% Full,84% Full,63% Full
friday,B Permit,Facility Services Lot (Fieldhouse Dr.),304 C,75,100% Full,91% Full,99% Full,92% Full
friday,B Permit,Sturgis Hall B Lot (312A),312 B,70,99% Full,97% Full,99% Full,97% Full
friday,B Permit,E.B. Doran Hall Lot,312 D,44,32% Full,100% Full,100% Full,100% Full
friday,B Permit,ECE B Lot,402 B,60,3% Full,8% Full,7% Full,5% Full
friday,B Permit,E.B Doran Hall (Gravel) Lot,On Street,19,20% Full,80% Full,90% Full,75% Full
friday,B Permit,South Quad B (Gravel) Lot,403 A,55,16% Full,78% Full,95% Full,33% Full
friday,B Permit,Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
friday,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,84% Full,94% Full,89% Full,89% Full
friday,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,95% Full,97% Full,93% Full,93% Full
friday,B Permit,Forestry Ln. Lot,On Street,15,46% Full,100% Full,100% Full,100% Full
friday,B Permit,Hospital Ln. Lot,On Street,16,66% Full,100% Full,50% Full,50% Full
friday,B Permit,Infirmary Rd. Lot,On Street,38,47% Full,60% Full,76% Full,68% Full
friday,B Permit,Tower Dr. B Lot,On Street,58,70% Full,75% Full,85% Full,85% Full
friday,B Permit,Parade Grounds North Lot,On street,40,57% Full,80% Full,90% Full,85% Full
friday,B Permit,Parade Grounds South Lot,On street,61,53% Full,100% Full,100% Full,100% Full
friday,B Permit,North Stadium Dr. Lot,On street,27,22% Full,85% Full,93% Full,93% Full
friday,B Permit,Parker Coliseum B Lot,On street,37,20% Full,92% Full,100% Full,92% Full